,subtoken,count
1760,nurs,13
1761,tech,286
1762,cent,726
1763,hous,87
1764,admit,60
1765,anquill,19
1766,teste,41
1767,rogue,27
1768,ccidental,49
1769,hike,25
1770,dip,451
1771,opte,387
1772,solo,162
1773,uck,131
1774,objectiv,6
1775,val,1804
1776,circu,188
1777,notifi,33
1778,leav,17
1779,fier,106
1780,boil,8
1781,kko,111
1782,meta,419
1783,compact,52
1784,werk,105
1785,etz,185
1786,idea,853
1787,glut,107
1788,papa,258
1789,distr,131
1790,ubu,120
1791,rrí,169
1792,dock,43
1793,ox,903
1794,ueva,139
1795,kata,177
1796,chamber,30
1797,hubb,30
1798,uels,18
1799,invit,67
1800,lied,78
1801,wil,530
1802,fun,385
1803,bene,115
1804,fact,127
1805,cau,570
1806,ungu,113
1807,menda,38
1808,imer,118
1809,cance,14
1810,turm,83
1811,election,17
1812,pra,483
1813,integra,119
1814,violen,20
1815,contra,571
1816,rings,15
